"HTS Number","COMMODITIES","IMPORT"
"08021100","Almonds, fresh or dried, in shell","14,258"
"08021200","Almonds, fresh or dried, shelled","126,820"
"08023100","Walnuts, fresh or dried, in shell","6,160"
"08023200","Walnuts, fresh or dried, shelled","882,019"
"08024100","Chestnuts, fresh or dried, in shell","2,985,612"
"08024200","Chestnuts, fresh or dried, shelled","696,351"
"08025200","Pistachios, fresh or dried, shelled","17,657"
"08026200","Macadamia nuts, shelled","1,658,253"
"08029025","Pignolias, fresh or dried, shelled","10,248,905"
"08029082","Nuts,nesi, fresh or dried, in shell","4,314,175"
"08029098","Nuts nesi, fresh or dried, shelled","48,967,601"
"08031020","Plantains, dried","23,345"
"08039000","Bananas, fresh or dried","1,196,489"
"08041020","Dates, fresh or dried, whole, with or without pits, packed in units weighing (with immediate container, if any) not over 4.6 kg","700,060"
"08041040","Dates, fresh or dried, whole, with pits, packed in units weighing over 4.6 kg","1,110,944"
"08041060","Dates, fresh or dried, whole, without pits, packed in units weighing over 4.6 kg","544,236"
"08042040","Figs, fresh or dried, whole, in units weighing more than 0.5 kg each","9,533"
"08043040","Pineapples, fresh or dried, not reduced in size, in crates or other packages","21,000"
"08043060","Pineapples, fresh or dried, reduced in size","756,333"
"08045040","Guavas, mangoes, and mangosteens, fresh, if entered during the period September 1 through May 31, inclusive","3,040"
"08045080","Guavas, mangoes, and mangosteens, dried","745,985"
"08051000","Oranges, fresh or dried","2,500"
"08052100","Mandarins and other similar citrus hybrids including tangerines, satsumas, clementines, wilkings, fresh or dried","369,858"
"08062010","Raisins, made from dried seedless grapes","549,026"
"08062020","Raisins, made from other than seedless grapes","12,392"
"08062090","Grapes, dried, other than raisins","19,334"
"08081000","Apples, fresh","4,267,059"
"08083020","Pears, fresh, if entered during the period from April 1 through June 30, inclusive","1,940,240"
"08083040","Pears, fresh, if entered during the period from July 1 through the following March 31, inclusive","13,622,962"
"08092900","Other cherries, fresh","10,850"
"08101040","Strawberries, fresh, if entered during the period from September 16 through the following June 14, inclusive","33,896"
"08107000","Persimmons, fresh","5,430"
"08109046","Fruit, not elsewhere specified or included, fresh","5,476,553"
"08111000","Strawberries, frozen, in water or containing added sweetening","2,333,519"
"08112020","Raspberries, loganberries, black currants and gooseberries, frozen, in water or containing added sweetening","254,558"
"08112040","Blackberries, mulberries and white or red currants, frozen, in water or containing added sweetening","1,235,384"
"08119020","Blueberries, frozen, in water or containing added sweetening","6,936"
"08119052","Mangoes, frozen, whether or not previously steamed or boiled","34,710"
"08119080","Fruit, nesi, frozen, whether or not previously steamed or boiled","6,015,164"
"08129090","Fruit and nuts nesi, including mixtures containing nuts, provisionally preserved, but not for immediate consumption","427,913"
"08131000","Apricots, dried","21,801"
"08132010","Prunes and plums, soaked in brine and dried","14,749"
"08132020","Prunes and plums, dried, (except if presoaked in brine)","124,568"
"08133000","Apples, dried","9,775,810"
"08134010","Papayas, dried","211,000"
"08134020","Berries except barberries, dried","21,283,886"
"08134030","Cherries, dried","102,608"
"08134040","Peaches, dried","1,360,492"
"08134090","Fruit nesi, dried, other than that of headings 0801 to 0806, and excluding mixtures","3,198,671"
"08135000","Mixtures of nuts or dried fruits of Chapter 8","1,045,900"
"08140010","Peel of orange or citron, fresh, frozen, dried or provisionally preserved in brine, in sulfur water or other preservative solutions","288,335"
"08140080","Peel of citrus fruit, excl. orange or citron and peel, nesi, of melon, fresh, frozen, dried or provisionally preserved","5,074"
"10019900","Wheat & meslin other than durum or seed wheat","10,050"
"10031000","Barley, seed","3,193"
"10039020","Barley, other than seed, for malting purposes","12,500"
"10039040","Barley, not seed, other than for malting purposes","72,570"
"10049000","Oats, other than seed","4,554"
"10059040","Corn (maize), other than seed and yellow dent corn","131,938"
"10062020","Basmati rice, husked","564,998"
"10062040","Husked (brown) rice, other than Basmati","662,274"
"10063010","Rice semi-milled or wholly milled, whether or not polished or glazed, parboiled","331,781"
"10063090","Rice semi-milled or wholly milled, whether or not polished or glazed, other than parboiled","7,625,629"
"10064000","Broken rice","40,140"
"10071000","Grain sorghum, seed","9,600"
"10079000","Grain sorghum, other than seed","110,785"
"10081000","Buckwheat","911,609"
"10082100","Millet, seed","14,225"
"10082900","Millet, other than seed","520,599"
"10083000","Canary seed","8,020"
"10089001","Cereals nesi (including wild rice)","170,048"
"11010000","Wheat or meslin flour","1,389,208"
"11022000","Corn (maize) flour","82,722"
"11029020","Buckwheat flour","20,980"
"11029025","Rice flour","215,091"
"11029030","Cereal flours nesi, mixed together","2,008"
"11029060","Cereal flours, other than of wheat or meslin, rye, corn, rice or buckwheat","35,289"
"11031100","Groats and meal of wheat","45,730"
"11031300","Groats and meal of corn (maize)","42,388"
"11031912","Groats and meal of oats","68,073"
"11031990","Groats and meal of cereals other than wheat, oats, corn (maize) or rice","23,400"
"11032000","Pellets of cereals","73,500"
"11041200","Rolled or flaked grains of oats","19,016"
"11041910","Rolled or flaked grains of barley","81,028"
"11041990","Rolled or flaked grains of cereals, other than of barley or oats","2,288"
"11042300","Grains of corn (maize), hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked","73,895"
"11042910","Grains of barley, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked","368,106"
"11042990","Grains of cereals other than barley, oats or corn, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked","664,036"
"11043000","Germ of cereals, whole, rolled, flaked or ground","2,952"
"11051000","Flour, meal and powder of potatoes","415,611"
"11052000","Flakes, granules and pellets, of potatoes","3,720"
