name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party
Ryan Trundle,2.296,4.272,287,534,125,Louisiana,04,Democratic
Ryan Watts,13.79415501905972,25.581956797966964,10856,20133,787,North Carolina,06,Democratic
Salud Carbajal,2.0588235294117645,5.470588235294118,35,93,17,California,24,Democratic
Salvatore Caiozzo,1.4285714285714286,3.6122448979591835,140,354,98,Rhode Island,02,Republican
Sanjay Patel,10.556420233463035,19.90272373540856,2713,5115,257,Florida,08,Democratic
Sara Dady,11.132584269662921,23.725842696629215,4954,10558,445,Illinois,16,Democratic
Sarah Smith,33.62213740458015,107.45229007633588,35236,112610,1048,Washington,09,Democratic
Scott DesJarlais,0.2,1.2,2,12,10,Tennessee,04,Republican
Scott Peters,0.9,3.8333333333333335,27,115,30,California,52,Democratic
Scott Taylor,13.074589127686473,47.89633375474084,10342,37886,791,Virginia,02,Republican
Scott Tipton,0.6896551724137931,1.4827586206896552,20,43,29,Colorado,03,Republican
Scott Wallace,20.91545189504373,39.542274052478135,7174,13563,343,Pennsylvania,01,Democratic
Sean Carrigan,88.57538461538462,132.42,57574,86073,650,South Carolina,02,Democratic
Sean Casten,18.619764397905758,56.214005235602095,28451,85895,1528,Illinois,06,Democratic
Sean Duffy,3.787878787878788,11.56060606060606,1000,3052,264,Wisconsin,07,Republican
Sean Flynn,3.7523364485981308,10.523364485981308,803,2252,214,California,31,Republican
Seth Grossman,7.825714285714286,10.497142857142856,2739,3674,350,New Jersey,02,Republican
Seth Hall,5.347438752783964,8.538975501113585,2401,3834,449,Kentucky,04,Democratic
Seth Moulton,114.37042062415196,488.7720488466757,84291,360225,737,Massachusetts,06,Democratic
Sharice Davids,81.33916849015317,204.7253829321663,74344,187119,914,Kansas,03,Democratic
Shawna Roberts,4.611713665943601,14.232104121475054,6378,19683,1383,Ohio,06,Democratic
Shireen Ghorbani,14.737276478679505,31.221458046767538,32142,68094,2181,Utah,02,Democratic
Shirley McKellar,10.951781970649895,13.174004192872117,5224,6284,477,Texas,01,Democratic
Steny Hoyer,2.1724137931034484,5.517241379310345,126,320,58,Maryland,05,Democratic
Stephanie Murphy,10.566666666666666,34.0375,2536,8169,240,Florida,07,Democratic
Stephany Rose Spaulding,6.422839506172839,16.790123456790123,2081,5440,324,Colorado,05,Democratic
Steve Chabot,7.172413793103448,14.551724137931034,208,422,29,Ohio,01,Republican
Steve Cohen,2.2954545454545454,4.068181818181818,101,179,44,Tennessee,09,Democratic
Steve Ferrara,6.989247311827957,16.7921146953405,1950,4685,279,Arizona,09,Republican
Steve King,530.7242339832869,1196.991643454039,190530,429720,359,Iowa,04,Republican
Steve Negron,8.125,14.125,1755,3051,216,New Hampshire,02,Republican
Steve Scalise,2.5,22.166666666666668,15,133,6,Louisiana,01,Republican
Steve Stivers,2.558139534883721,9.930232558139535,110,427,43,Ohio,15,Republican
Steve Toft,1.103896103896104,2.9415584415584415,340,906,308,Wisconsin,03,Republican
Steve Von Loor,52.59507042253521,70.15492957746478,29874,39848,568,North Carolina,04,Republican
Steve Watkins,8.046153846153846,19.794871794871796,1569,3860,195,Kansas,02,Republican
Steve Womack,1.2045454545454546,5.295454545454546,53,233,44,Arkansas,03,Republican
Steven David,4.050269299820466,10.937163375224417,2256,6092,557,Texas,08,Democratic
Susan Boser,6.752941176470588,10.370588235294118,1148,1763,170,Pennsylvania,15,Democratic
Susan Brooks,1.6,8.15,32,163,20,Indiana,05,Republican
Susan Moran Palmer,6.102439024390244,18.878048780487806,1251,3870,205,Ohio,16,Democratic
Susan Wild,11.185714285714285,21.565714285714286,3915,7548,350,Pennsylvania,07,Democratic
Susie Lee,6.063444108761329,17.77240684793555,6021,17648,993,Nevada,03,Democratic
Suzan DelBene,1.1264367816091954,4.448275862068965,196,774,174,Washington,01,Democratic
Sylvia Garcia,7.844086021505376,17.976344086021506,7295,16718,930,Texas,29,Democratic
TJ Cox,15.101030927835051,29.28041237113402,7324,14201,485,California,21,Democratic
Tabitha Isner,17.929286190793864,34.15276851234156,26876,51195,1499,Alabama,02,Democratic
Talley Sergent,7.275862068965517,21.134301270417424,4009,11645,551,West Virginia,02,Democratic
Tammy Savoie,6.741839762611276,19.225519287833826,2272,6479,337,Louisiana,01,Democratic
Tatiana Matta,5.588486140724947,16.294243070362473,2621,7642,469,California,23,Democratic
Ted Budd,4.334841628959276,10.28054298642534,958,2272,221,North Carolina,13,Republican
Ted Deutch,147.58278145695365,565.3443708609271,44570,170734,302,Florida,22,Democratic
Tedra Cobb,8.833641404805915,23.03327171903882,4779,12461,541,New York,21,Democratic
Terri Sewell,3.764705882352941,7.745098039215686,384,790,102,Alabama,07,Democratic
Theresa Gasper,7.125581395348838,20.409302325581397,1532,4388,215,Ohio,10,Democratic
Thomas Massie,0.0,5.0,0,5,1,Kentucky,04,Republican
Thomas Oh,2.2548387096774194,5.441935483870968,699,1687,310,Virginia,08,Republican
Tim Burchett,4.959485530546623,36.62636655948553,15424,113908,3110,Tennessee,02,Republican
Tim Donnelly,41.61563876651982,87.24449339207048,37787,79218,908,California,08,Republican
Tim Gilpin,0.9533333333333334,2.6933333333333334,143,404,150,Oklahoma,01,Democratic
Tim Ryan,11.88265306122449,39.53061224489796,6987,23244,588,Ohio,13,Democratic
Tim Walberg,0.2,1.6,7,56,35,Michigan,07,Republican
Timothy Bjorkman,4.879350348027843,10.357308584686775,2103,4464,431,South Dakota,00,Democratic
Tobi Beck,13.220430107526882,27.39516129032258,4918,10191,372,Indiana,04,Democratic
Todd Litton,6.073394495412844,16.48165137614679,2648,7186,436,Texas,02,Democratic
Tom Emmer,3.736231884057971,13.104347826086956,1289,4521,345,Minnesota,06,Republican
Tom Graves,3.5714285714285716,8.392857142857142,200,470,56,Georgia,14,Republican
Tom MacArthur,16.15,39.55,323,791,20,New Jersey,03,Republican
Tom Malinowski,39.54862842892768,107.77057356608479,15859,43216,401,New Jersey,07,Democratic
Tom McClintock,1.8608695652173912,5.3478260869565215,214,615,115,California,04,Republican
Tom O'Halleran,10.173469387755102,18.632653061224488,997,1826,98,Arizona,01,Democratic
Tom Palzewicz,7.301916932907348,14.07667731629393,4571,8812,626,Wisconsin,05,Democratic
Tom Reed,0.6382978723404256,1.9858156028368794,90,280,141,New York,23,Republican
Tom Rice,1.3333333333333333,2.5,8,15,6,South Carolina,07,Republican
Tom Suozzi,2.064516129032258,7.774193548387097,256,964,124,New York,03,Democratic
Tony Cardenas,0.3448275862068966,1.4827586206896552,10,43,29,California,29,Democratic
Tracy Lovvorn,2.782608695652174,5.539130434782609,320,637,115,Massachusetts,02,Republican
