name,party,state,url
Maria Slater,Republican,California,https://ballotpedia.org/Maria_Slater
Mark Reed (California),Republican,California,https://ballotpedia.org/Mark_Reed_(California)
Marla Livengood,Republican,California,https://ballotpedia.org/Marla_Livengood
Matt Mendoza,Republican,California,https://ballotpedia.org/Matt_Mendoza
Michael Allman,Republican,California,https://ballotpedia.org/Michael_Allman
Michael Erin Woody,Republican,California,https://ballotpedia.org/Michael_Erin_Woody
Mike Schmitt,Republican,California,https://ballotpedia.org/Mike_Schmitt
Mimi Walters,Republican,California,https://ballotpedia.org/Mimi_Walters
Mitchell White,Republican,California,https://ballotpedia.org/Mitchell_White
Morgan Murtaugh,Republican,California,https://ballotpedia.org/Morgan_Murtaugh
Omar Navarro,Republican,California,https://ballotpedia.org/Omar_Navarro
Omar Qudrat,Republican,California,https://ballotpedia.org/Omar_Qudrat
Omba Kipuke,Republican,California,https://ballotpedia.org/Omba_Kipuke
Paul Cook (California),Republican,California,https://ballotpedia.org/Paul_Cook_(California)
Paul Martin (California),Republican,California,https://ballotpedia.org/Paul_Martin_(California)
Phil Liberatore,Republican,California,https://ballotpedia.org/Phil_Liberatore
Rafael Dagnesses,Republican,California,https://ballotpedia.org/Rafael_Dagnesses
Robert Bentley (California),Republican,California,https://ballotpedia.org/Robert_Bentley_(California)
