name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party,abbreviation,district_key
Daniel Donovan,7.44,19.96,2232,5988,300,New York,11,Republican,NY,NY-11
Danielle Mitchell,13.899103139013453,30.706278026905828,6199,13695,446,Tennessee,03,Democratic,TN,TN-03
Danner Kline,23.058282208588963,52.25153374233128,7517,17034,326,Alabama,06,Democratic,AL,AL-06
Danny O'Connor,163.34470588235294,412.4682352941177,138843,350598,850,Ohio,12,Democratic,OH,OH-12
Danny Tarkanian,19.785813630041726,45.44089012517385,14226,32672,719,Nevada,03,Republican,NV,NV-03
Darren Soto,6.366666666666666,19.291666666666668,764,2315,120,Florida,09,Democratic,FL,FL-09
Daryl Kipnis,16.097995545657014,33.51447661469933,7228,15048,449,New Jersey,12,Republican,NJ,NJ-12
Dave Hughes,85.01033591731266,133.19379844961242,32899,51546,387,Minnesota,07,Republican,MN,MN-07
Dave Loebsack,4.617647058823528,16.823529411764707,157,572,34,Iowa,02,Democratic,IA,IA-02
David Brat,29.100456621004568,67.35616438356165,6373,14751,219,Virginia,07,Republican,VA,VA-07
David Brill,15.059405940594061,35.02121640735502,10647,24760,707,Arizona,04,Democratic,AZ,AZ-04
David Cicilline,112.04432132963987,365.2012927054478,121344,395513,1083,Rhode Island,01,Democratic,RI,RI-01
David Holden,24.710526315789476,68.95215311004786,10329,28822,418,Florida,19,Democratic,FL,FL-19
David Kustoff,5.313432835820897,16.28358208955224,356,1091,67,Tennessee,08,Republican,TN,TN-08
David Rouzer,1.3,1.91,130,191,100,North Carolina,07,Republican,NC,NC-07
David Schweikert,3.4,7.0,17,35,5,Arizona,06,Republican,AZ,AZ-06
David Shapiro,42.75675675675676,71.47297297297297,9492,15867,222,Florida,16,Democratic,FL,FL-16
David Smalling,0.45,0.86,45,86,100,Texas,35,Republican,TX,TX-35
David Trone,39.38785046728972,121.71495327102804,16858,52094,428,Maryland,06,Democratic,MD,MD-06
David Wilson Brown,7.313253012048192,9.771084337349398,1214,1622,166,North Carolina,10,Democratic,NC,NC-10
David Young,3.4940476190476186,11.482142857142858,587,1929,168,Iowa,03,Republican,IA,IA-03
Dawn Barlow,6.562867215041129,15.592244418331376,5585,13269,851,Tennessee,06,Democratic,TN,TN-06
Dayna Steele,7.838655462184874,24.02436974789916,18656,57178,2380,Texas,36,Democratic,TX,TX-36
Dean Phillips,58.429467084639505,185.06896551724137,18639,59037,319,Minnesota,03,Democratic,MN,MN-03
Debbie Dingell,3.0,13.0,48,208,16,Michigan,12,Democratic,MI,MI-12
Debbie Lesko,11.429667519181585,23.10997442455243,4469,9036,391,Arizona,08,Republican,AZ,AZ-08
Debbie Mucarsel-Powell,20.661625708884692,51.27599243856333,10930,27125,529,Florida,26,Democratic,FL,FL-26
Debbie Wasserman Schultz,58.88947368421053,207.28947368421046,11189,39385,190,Florida,23,Democratic,FL,FL-23
Debra Haaland,32.757620817843865,81.41710037174721,44059,109506,1345,New Mexico,01,Democratic,NM,NM-01
Dee Thornton,7.465408805031448,24.48427672955975,1187,3893,159,Indiana,05,Democratic,IN,IN-05
Denise Adams,36.27443609022557,56.12406015037594,38596,59716,1064,North Carolina,05,Democratic,NC,NC-05
Denny Wolff,4.69465648854962,5.6603053435114505,1230,1483,262,Pennsylvania,09,Democratic,PA,PA-09
Denver Riggleman,7.987804878048781,20.969512195121947,2620,6878,328,Virginia,05,Republican,VA,VA-05
Derek Kilmer,0.9097744360902256,2.954887218045113,121,393,133,Washington,06,Democratic,WA,WA-06
Diana DeGette,1.7391304347826086,5.434782608695652,80,250,46,Colorado,01,Democratic,CO,CO-01
Diane Harkey,14.133333333333333,25.466666666666665,636,1146,45,California,49,Republican,CA,CA-49
Diane Mitsch Bush,4.073099415204679,11.064327485380117,1393,3784,342,Colorado,03,Democratic,CO,CO-03
Dino Rossi,11.533333333333333,36.77777777777778,1038,3310,90,Washington,08,Republican,WA,WA-08
Don Young,0.6666666666666666,4.533333333333333,10,68,15,Alaska,00,Republican,AK,AK-00
Donald McEachin,4.47457627118644,11.8135593220339,264,697,59,Virginia,04,Democratic,VA,VA-04
Donald Norcross,0.7114093959731543,3.093959731543624,106,461,149,New Jersey,01,Democratic,NJ,NJ-01
Donna Shalala,63.52530120481928,167.99036144578312,26363,69716,415,Florida,27,Democratic,FL,FL-27
Doris Matsui,0.9901960784313726,3.9607843137254894,101,404,102,California,06,Democratic,CA,CA-06
Doug Bennett,1.3456790123456788,2.3580246913580245,109,191,81,Illinois,10,Republican,IL,IL-10
Doug Collins,9.760416666666666,28.65625,1874,5502,192,Georgia,09,Republican,GA,GA-09
Doug LaMalfa,3.5,7.583333333333332,42,91,12,California,01,Republican,CA,CA-01
Drew Ferguson,1.5384615384615383,5.846153846153847,80,304,52,Georgia,03,Republican,GA,GA-03
Dusty Johnson,1.9318181818181817,9.681818181818182,85,426,44,South Dakota,00,Republican,SD,SD-00
Dwight Evans,4.298472385428907,7.188014101057579,3658,6117,851,Pennsylvania,03,Democratic,PA,PA-03
"Earl ""Buddy"" Carter",1.6666666666666667,3.5733333333333333,125,268,75,Georgia,01,Republican,GA,GA-01
